Screen Name,Text,Language,Tweet Type
james_sexton,"RT @BreitbartNews : ""President Joe Biden can be impeached for bribery, one of the two offenses specifically mentioned in Article II, Section 4 of the U.S. Constitution."" https://t.co/PVDO5KlzcF",en,Retweet
karrieann778,"RT @MargieDemocracy : President Biden:

America is back in the factory business.

US manufacturing commitments  Doubled after Biden’s subsidies.

Biden bets on  bringing the factories back to America. 

* Manufacturing double their commitments .

Vote for Biden, so he can finish what he started. https://t.co/pVqjvyL6Zh",en,Retweet
bernard_gress,"RT @kimguilfoyle : ""1,500 military troops being sent to the border is more about Joe Biden's polls than border security.""

@RepMTG SLAMMED Biden for using troops as a welcoming committee for illegal immigrants.

Watch the FULL one-on-one on Rumble 👉 https://t.co/83SpZETRsr https://t.co/1dUWkw0ohg",en,Retweet
DannyOlive03,Fun fact: you’ll run into more trump supporters than Biden supporters in your life (unless you live in California/New York) but expect us to believe there are 80 million people who voted for Biden. Crazy how that works huh,en,Tweet
SueStan68274786,RT @VivekGRamaswamy : It's a myth that Joe Biden is actually running for President. He's not. It's just the managerial class using Joe Biden as a front to advance its own agenda. To them Biden's cognitive impairment isn't a bug. It's a feature. The Administrative state more effectively controls its… https://t.co/CBeqgSOBIK https://t.co/sTa59e70CQ,en,Retweet
most_sarcastic,@CountyHatter86 ‘That's From Then-Vice President Biden...': GOP Senator Reads Old Biden ... https://t.co/n3MtTyUOm4 via @YouTube,en,Tweet
issy_victory,RT @glennbeck : If the Biden whistleblower story is true — and the FBI and DOJ were HIDING an incriminating document — this is the biggest presidential scandal in American history. https://t.co/zmmO4Pzcfb,en,Retweet
btpftpotp,@WalshFreedom Joe Biden? Where’d he go?,en,Reply
free_speech2022,"RT @dom_lucre : As leader of the Senate Judiciary Committee, Joe Biden presided over Clarence Thomas' confirmation hearings to become the Supreme Court's second Black justice.

The hearings became a crucible for racism. Biden even openly proclaimed that an FBI report wasn't proof. True racism. https://t.co/8kQ2Do5iUj",en,Retweet
RodgerScott20,"RT @RepMTG : 🚨 Warning Imminent Invasion!

DHS and Border Patrol are warning there are an estimated 700,000 migrants in Mexico ready to rush the border when Title 42 is lifted on May 11th. 

And the Darian Gap in Panama is seeing an over 500% increase in migrations to the US.

But Biden has… https://t.co/04WA61WQVz",en,Retweet
newstell2,Biden and Harris roasted for ‘going to lunch’ car selfie: ‘The cringe hurts’ https://t.co/ly2DlZr4QX,en,Tweet
LoriLyrica,"RT @SenTedCruz : This is the tell: If Merrick Garland’s DOJ focuses on Hunter Biden’s individual crimes and they seal off the connection to Joe Biden, and the millions Hunter made selling access to his father! https://t.co/dRPbKc8dGu",en,Retweet
LucindaRhysEvan,"And in #America, #TuckerCarlson receives a standing ovation in Oxford, #Alabama - his first public event since firing by #Fox for political positions.

#Tucker accused #Biden of creating #Ukraine crisis acting on interests of large corporarions in US #MilitaryIndustrialComplex. https://t.co/2z9xocvzZc",en,Tweet
JacobRotert,"RT @BelllllaSmith : If you agree, Joe Biden is Obama's puppet and has done the things that Obama asked, retweet &amp; Follow me🌹 https://t.co/snoqNAsRtl",en,Retweet
