Word,Polarity
fun,0.3
more,0.5
live,0.13636363636363635
crazy,-0.6
old,0.1
first,0.25
large,0.21428571428571427
new,0.13636363636363635
capable,0.2
most,0.5
heavy,-0.2
special,0.35714285714285715
near,0.1
criminal,-0.4
foreign,-0.125
tense,-0.3333333333333333
stupid,-0.7999999999999999
insane,-1.0
slightly,-0.16666666666666666
very,0.2
full,0.35
evil,-1.0
jail,-0.1
failed,-0.5
past,-0.25
scary,-0.5
shit,-0.2
dangerous,-0.6
false,-0.4000000000000001
“criminal,-0.4
many,0.5
straight,0.2
social,0.03333333333333333
‘major,0.0625
hard,-0.2916666666666667
ill,-0.5
illegally,-0.5
much,0.2
illegal,-0.5
twisted,-0.5
true,0.35
expected,-0.1
fine,0.4166666666666667
distasteful,-0.5
good,0.7
wins,0.3
other,-0.125
little,-0.1875
sick,-0.7142857142857143
tired,-0.4
great,0.8
high,0.16
worse,-0.4
sure,0.5
huge,0.4000000000000001
corrupt,-0.5
worthless,-0.8
useless,-0.5
destroy,-0.2
weak,-0.375
really,0.2
angry,-0.5
marked,0.1
fast,0.2
slow,-0.30000000000000004
thanks,0.2
thin,-0.4
best,1.0
certainly,0.21428571428571427
amazing,0.6000000000000001
least,-0.3
irrelevant,-0.5
mainly,0.16666666666666666
absolute,0.2
better,0.5
trapped,-0.2
horrible,-1.0
behind,-0.4
half,-0.16666666666666666
completely,0.1
tight,-0.17857142857142858
far,0.1
seriously,-0.3333333333333333
missing,-0.2
dead,-0.2
difficult,-0.5
incompetent,-0.35
shocked,-0.7
major,0.0625
few,-0.2
truthfully,0.5
black,-0.16666666666666666
lmao,0.6
hahahaha,0.2
ok,0.5
‘first,0.25
fresh,0.3
higher,0.25
available,0.4
surprised,0.1
