Screen Name,Text,Language,Tweet Type
ManyMen92611,"@VivekGRamaswamy Mini Modi is a one trick pony. 

Any actual policy positions that are not lifted from team Trump?",en,Reply
therealkalakar,"11. PM Modi's road-show will span from 11 am to 1 pm for 10.1 km, then from 4 pm to 10 pm for 26.5 km.",en,Reply
therealkalakar,"9. Meanwhile, Prime Minister Narendra Modi will conduct a 36.6 km road-show in Bengaluru on May 6.",en,Reply
Thirumeni156515,@BJP4TamilNadu Go back Modi Modi very gedi,it,Reply
MRashidNadwi1,@upadhyayabhii Ab yeh patrkarita zyada din nhi chalne wali abki baar 2024 ke baad tumhari baari he Sootr batate hen Modi sarkar media trail hindu muslim karne per jail men dalne ki tayyari he,hi,Reply
chyasirtech,"‘My Manipur is burning, help’, Mary Kom sought help from PM Modi late at night https://t.co/mNVLY57R6e",en,Tweet
Narayan_Kumar1,"@alishaabdullah @PMOIndia @narendramodi @BJP4India @qatardutyfree Sorry, you lost at least 2% in exchange fees 😂. Always choose the foreign currency option when you swipe the card overseas, unless you want to burn precious money singing Modi bhajan 🤦‍♂️",en,Reply
Viardot9,"@cldonline @kushal_sonavane @EmmanuelMacron @narendramodi Allez vivre en UKRAINE, 10 000 PRISONNIERS FRANÇAIS,,STALAG 325,,BANDERAS AZOV DAS REICHT GALICIE SONT GLORIFIE,,,,,ÉCRIVEZ, EN FRANÇAIS MADAME,,JE DÉTESTE MACRON,,SOLDAT AMÉRICAINS,,MODI,DEVRAIT FAIRE ATTENTION (((TRAÎTRES AMÉRICAINS",fr,Reply
Southern_Brook,#voteoutBJP #Modi_Hatao_Desh_Bachao #KarnatakaAssemblyElections2023 #MODIFailsIndia https://t.co/SSh1Fou29q,und,Tweet
karthik_s3,@Starboy2079 @S97Nishu @BhawanaKishore These kind of actions by parties like AAP TMC brings press freedom index down. But MODI gets the blame.,en,Reply
Ramveer70491121,@trueindian_0 hindu rastra Ghosit  karo modi ji ab time aagya h ji,hi,Reply
SufanRahman,"Under Modi, RSS n BJP Hindutuv governmen, India has become a country of  “institutionalised riot system” (IRS), wherein riots are prepared, activated, and sustained with explanatory justifications.

#ManipurVoilence 
#ManipurOnFire 
#SaturdayMorning 
#Modi_Hatao_Desh_Bachao",en,Tweet
ArunPrasathBak1,"@navjeetjha1 @mo_seva @niiravmodi People like Adani, Modi are evading income taxes, huge sum of taxes are being looted from the middle &amp; lower middle class through direct and indirect taxes.

How much per litter of Petrol a vegetable seller is paying as tax ?
How much per cylinder a poor family is paying as tax ?",en,Reply
