Screen Name,Text,Language,Tweet Type
SleepyJ59257893,"determination of the command and fighters to fulfill the order of the Supreme Commander-in-Chief of #Russia Vladimir Vladimirovich #Putin.""",en,Reply
IamOSFA,Yes ma'am. Hoping for a swift and 100% @Ukraine  victory sooner than later. Too many innocnet people dying at the hands of this mental midget #Putin https://t.co/nYshdckJDb,en,Tweet
LudmilaVasilg,"#PUTIN held a briefing session with permanent members of the Security Council

https://t.co/OgBX6NUAZJ

#BBC #BBCNews #Guardian #CNBC #Dailymail #WSJ #Bild #NYT #AP #AFP #Reuters #Spiegel #Euronews #Times #BuzzFeedNews #Economist #Thehill #cnn #FoxNews #dwnews #Politico #SRF #ABC https://t.co/dyIOrp2BIF",en,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to #Russia

https://t.co/TEeydhi778

#Yahoo #YahooNews #Sun #vox #Daily_Express #CTVNews #Blick #France24 #Riformista #RaiNews #tg24",en,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#hollywoodreporter #sabah #csmonitor #express #kompas  #yomiuri #thehindu #thestar #thesun #theage
#GoogleNews #Google",en,Tweet
AhmadAlinaghi,"#Prigozhin, the head of #Wagner, threatened to withdraw from the front lines of #Bakhmut on May 10 due to the lack of weapons and military equipment.

When #Putin leaves his mercenary alone, it means that #Russia's military situation is very bad.
#Ukraine https://t.co/CtfcoYoikn",en,Tweet
LaydenRobinson,"Hail #Ukraine and keep on pushing forward. We love you and your wonderful people! Here is some #music to enjoy. багато любові, ""Everyone except #Putin""    https://t.co/67VclEOzOJ

#Kyiv #UkraineRussianWar #Zelensky #RT",und,Tweet
LaydenRobinson,"Hail #Ukraine and keep on pushing forward. We love you and your wonderful people! Here is some #music to enjoy. багато любові, ""Everyone except #Putin""    https://t.co/67VclEOzOJ

#Kyiv #UkraineRussianWar #Zelensky",und,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

 #nytimes #thetimes #latimes #elpais #lemonde #mirror #repubblica #cbs #smh #chon #hurriyet #chicagotribune #axs",en,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#PostOpinions #FN
#USATODAY #usatogayDC 
#bloombergUK #Forbes #Newsweek #nypost
#LeFigaro #bild_news #telegraph",en,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#BBCBreaking #ABC #CBSNews #NBCNews #cnni #WashingtonPost #WP #PostVideo
#wppressfreedom #WashPostPT #PostLive",en,Tweet
IamOSFA,"#Putin is such a pathetic little man n his corruption runs deep. People sell their souls for a few gold shillings.The world is corrupt. Every country has its traitors. Politicians  r 4 sale

How much to carry #Putin water @wyattreed13 ? Pathetic

#UkraineRussiaWar @ErinBurnett https://t.co/zJ0KVKbHXF",en,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#Economist #Thehill #cnn #FoxNews #dwnews #Politico #SRF #Express #SkyNews #CBCnews #CBC #NPR #nutimes #FT #Time",en,Tweet
Andrea__Monti,@Dandrea8D @Roby_Il_Toby Assolutamente.. come gli Ucraini non sono #Zelensky.. i Russi non sono #Putin.. e gli americani no sono #Biden,it,Reply
Euro_comunica,"Droni su Cremlino, per Mosca è stata Washington
https://t.co/JvsEipkaos
#Eurocomunicazione #Cremlino #drone #mosca #WashingtonDC #Giappone #USA #Cina #russia #Putin #Peskov #Japan #American #China #ATTACK #attacco #rappresaglia #Kirby #Prigozhin #Wagner #motegi #Blinken",it,Tweet
Forexcoinnews,"Forças ucranianas bombardeiam soldados russos correndo para se esconder no campo de batalha #breakingnews #counteroffensive #donetsk #mortar #mortarfire #News #president #Putin #rússia #russiaukraine #russianmod #russiansdestroyed #TheSun #Ukraine #uk...
https://t.co/JZ4SESFZlR",pt,Tweet
Liticoinoficial,"Forças ucranianas bombardeiam soldados russos correndo para se esconder no campo de batalha #breakingnews #counteroffensive #donetsk #mortar #mortarfire #News #president #Putin #rússia #russiaukraine #russianmod #russiansdestroyed #TheSun #Ukraine #uk...
https://t.co/xnFh040Xe7",pt,Tweet
Forexdigital1,"Forças ucranianas bombardeiam soldados russos correndo para se esconder no campo de batalha #breakingnews #counteroffensive #donetsk #mortar #mortarfire #News #president #Putin #rússia #russiaukraine #russianmod #russiansdestroyed #TheSun #Ukraine #uk...
https://t.co/EGfXLKUC8U",pt,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#BBC #BBCNews #Guardian #CNBC #Dailymail #WSJ #Bild #NYT #AP #AFP #Reuters #Spiegel #Euronews #Times #BuzzFeedNews",en,Tweet
FXcoinnews,"Forças ucranianas bombardeiam soldados russos correndo para se esconder no campo de batalha #breakingnews #counteroffensive #donetsk #mortar #mortarfire #News #president #Putin #rússia #russiaukraine #russianmod #russiansdestroyed #TheSun #Ukraine #uk...
https://t.co/25SV8WPvhT",pt,Tweet
infoportall,"Forças ucranianas bombardeiam soldados russos correndo para se esconder no campo de batalha #breakingnews #counteroffensive #donetsk #mortar #mortarfire #News #president #Putin #rússia #russiaukraine #russianmod #russiansdestroyed #TheSun #Ukraine #uk...
https://t.co/wZq7vK39vJ",pt,Tweet
_5Lines,Looks like Prigozhin is done in Bakhmut. #SlavaUkraine #putin #Ukrainwar #russiaukrain #Wagner https://t.co/MKKPpx18YG,en,Tweet
chcsho,"Russia   go home ! NOW  
 We pray for Ukraine   (UREIGN)   
and in the whole   world        #SupremeMasterTV #vegen #Love #Peace    #ukrainewarfootage #UkraineRussiaWar #Putin #Ukraine    #Russia #PutinIsaWarCriminal #news #war https://t.co/Z0067TB0ji",en,Tweet
IamOSFA,"#Putin @RussiaUN @MedvedevRussiaE @mfa_russia r scared n paranoid

The world knows you've ramped up the propaganda machine

Amazing how u believe your own nonsense

Keep smiling...we draw straws soon

Thanks for playing little nutty buddy @Dpol_un

#UkraineRussiaWar @ErinBurnett https://t.co/mfKdB7rKbj",en,Tweet
6number6,@aarrzee I hope they do. Then we can get rid of #Putin once and for all…,en,Reply
ExposeThemAll99,"#UkrainesNotWinning #UkraineWarVideo #WarVideo #UkraineWarVideos #Video #ukrainewarfootage #warfootage #VolodymyrZelenskyy #Ziolensky #VladimirPutin #Putin 

Tonight; What was left of Bakhmut is no more https://t.co/jM02TNdj80",en,Tweet
Emmanue41863385,"@Tendar Well, the Russian Nazi Butcher #Putin once lived in #Dresden and heard about the burning down of Dresden by #RAF in 1945. This might have given him some inspiration.",en,Reply
oromariposa06,"Very GOOD @RealPepeEscobar
Loved #Putin quote pertaining to PARTNERS who must consult DC re:any decisions! #Iran(like Cuba) is 2b respected 4 EXISTING four decades against USA'S attempts to destroy their country! 
Pepe Escobar: Divisions Brewing in Europe

https://t.co/EtuBo9yv2u",en,Tweet
IamOSFA,"You've got new #Twitter accounts to spread the word n recruited useful idiot @ReadeAlexandra
 
Good for u. Problem is, the world knows #Putin 
@RussiaUN @mfa_russia @MedvedevRussiaE r frauds n liars

The world stands with @ZelenskyyUa

 #UkraineRussiaWar @wolfblitzer @VRSoloviev https://t.co/mfKdB7rKbj",en,Tweet
RydblomMimi,@UltraMagaCCG @RealBrysonGray @Maureen56343820 @VivekGRamaswamy Don’t see him standing up to #Putin or #China 🤷🏼‍♀️ #Trump2024,en,Reply
wRLMyxE7ZEr5CKr,"ロシアの人達へ。

決心してください。

団結してください。

プーチンに抵抗してください。

子供達のため

ロシアのため

#Ukraine #Russia #Putin #NoWar #StopWar https://t.co/HYJGicNSY5",ja,Tweet
