Screen Name,Text,Language,Tweet Type
lemaringrondino,"@Lommaax @evad_16 C'est rare que trudeau Landry ya des véritables échanges ... Ça ressemble à Landry qui chiale sur la politique , trudeau qui essaie apporter des nuances avec son expérience à l'interne de la politique et Landry qui bougone",fr,Reply
JLionlight,"@MichaelChongMP That diplomat that dared attack a Canadian MP from an adversary nation China/CCP, should have been fired back to China the minute, the very second it happened!!

Trudeau is a traitor, we don't need Chinas slave labour! We have  allies that do not threaten our representatives!!",en,Reply
Poet__Myst,@OrbitStudios @LALegault @SusanDelacourt @RealMattHopkins @HillaryClinton Hillary essentially ripped the mask off PP on Canadian soil calling him Canada's Trump. She had Chrystia applauding in agreement suggesting even Harper may agree PP is too radical. Defining moment. Let's see if PP brings a prominent Trumpublican on Canadian soil to mock Trudeau.,en,Reply
Aqualung0001,"Yeah @ambermac , Trudeau is a real supporter of women! He’s got a great track record! 👇 https://t.co/ZmJhtg7AJt https://t.co/QIpk65aaoB",en,Tweet
AmonFitNerd,@Captaincoby00 you forgot to add 'AND ITS ALL TRUDEAU'S FAULT' on the end there,en,Reply
WesternWheel,Trudeau says no decision yet on expelling Chinese envoy implicated in threats to MP https://t.co/333tg0BZfX,en,Tweet
rmoutlook,Trudeau says no decision yet on expelling Chinese envoy implicated in threats to MP https://t.co/GEcLuC4DzV,en,Tweet
stalbertgazette,Trudeau says no decision yet on expelling Chinese envoy implicated in threats to MP https://t.co/qNABAtIBY2,en,Tweet
mapleservo,She’ll step over the bodies of  Albertans to thumb her nose at Trudeau. https://t.co/uWd1NY4b3h,en,Tweet
penpencilbrush,"@DonMartinCTV @TorontoStar Don't be silly Don. PM Trudeau has guided Canada to the top! Go with facts, rather than letting your emotions override. https://t.co/YDtLZSPg4O",en,Reply
it_matters_2_me,@nationalpost Trudeau is a compulsive liar. https://t.co/CFVzvM0o3E,en,Reply
pimptrix,"@TorontoStar Oh man, how is Trudeau still a PM?!?!",en,Reply
cco8226,@SeamusORegan @liberal_party @ylc_jlc @Sachitmehra @telfordk Trudeau lied....again #TrudeauChineseAsset #TrudeauCorruption #LiberalHypocrisy #TrudeauLyingPOS https://t.co/jid6FpN2RP,en,Reply
LooniePolitics,"Trudeau refuses to clear up confusion over communication of China interference allegations https://t.co/WejcJThUMu
https://t.co/WejcJThUMu",en,Tweet
PhilMcK10946155,"@CPAC_TV It sure as hell is!!!

Broken and broke!

Trudeau did this.",en,Reply
TheAlbertan_,Trudeau says no decision yet on expelling Chinese envoy implicated in threats to MP https://t.co/dyz4IMku8C,en,Tweet
CochraneEagle,Trudeau says no decision yet on expelling Chinese envoy implicated in threats to MP https://t.co/loAi2FG4LE,en,Tweet
aquiottawa,TRUDEAU HUMILIATED at EU Parliament by THREE Anti-DICTATOR MEPs https://t.co/cY05gwYeNH via @YouTube,en,Tweet
CherylBulleid,"@palevell2 😖😖😖😖
I'm not suicidal.  🤭🙏
I would like mine shipped to my house so I can have it analized and once I've completed that I would like to donate it to the Trudeau family. Me administering of course, free of charge. And all along the way I'll pick up the rest to drop off.",en,Reply
WrxHatch13,"@midnightriderV2 @PierrePoilievre @stephenharper He wasn't bad, even though he wasn liberal. I didn't ever feel oppressed as a Canadian Citizen under Chretien. He was qualified to be PM.

I proudly wear Fuck Trudeau clothes and hang the flag. I would never disrespect another PM this way",en,Reply
SlickAnalysis,"@CPAC_TV And La Belle province just locked down for two years like Gestapo state (also ROC), and Sonny Trudeau claimed ad nauseum for 2 years that 5 million Canadians not to be tolerated.  Now in true Castro fashion he claime he never said that, adding liar to his lack of achievements.",en,Reply
RobertI95943162,@KatrinaPanova You mean Trudeau gestapo please remove your sign to serve and protect from all your vehicles your organization is disgusting,en,Reply
trevor_slatery,@ChatByCC @DomGuerra22 Trudeau,en,Reply
MikeQ_Patriot,"@McfarlaneGlenda Trudeau is a total Little wimp, nothing else ... you will see him bawling and crying like a little girl before kneeling in front of the prize that Canadians will offer him on stage. https://t.co/t63d5Bo85X",en,Reply
ground_enemy,@TheChiefNerd trudeau oozed into the room and smarmed a short speech before a berapt audience,en,Reply
