Screen Name,Text,Language,Tweet Type
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/kB4u6Y3FkG",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/rVfEhn9Pag",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/rNU52nVaHm",zh,Tweet
upasakabala,"#China #XiJinping China Cracks Down on Citizens Abroad as People Flee Country : ""China's influence in the U.N. and other international institutions are diminishing because of its gross violations,"" a human rights expert told Newsweek. https://t.co/N0EHoHdptq",en,Tweet
XiJinPing_NMSL,@FHtxWIgJMI3yoLO 大哥冻土豆吃累了打把美军怎么了😠👊开了就是开了？,zh,Reply
AndreaCorvala20,#LópezObrador insiste en que #México no produce #fentanilo y afirma que llega de China: “Tenemos pruebas”. El presidente anuncia que enviará otra carta al Gobierno de #XiJinping y le pedirá que impida el envío de sustancias al país. https://t.co/Dap8K2LwfA,es,Tweet
billbarnett65,I’m thinking that won’t have the backing of XiJinPing.,en,Reply
yurdanerISKI,"The head of the Russian #Wagner mercenaries #Prigozhin announced the withdrawal of his troops from #Bachmut for May 10th. 
What do you think, is it true or a tactical game by #Putin?
#Wagner #Russia #China #UkraineWar #Zelensky #Biden #XiJinping #Erdogan #Nato #USA #drones #war",en,Tweet
Sigrid04856272,"@WeAreNotFood @mikkimouse00 @MFA_China @AmbLiuXiaoMing @AmbCuiTiankai @Amb_ChenXu @Amb_Yiming @Ambassador_Liu #BanChina 
#BanChinesProducts 
#EndDogCatMeatTrade 
#XiJinping and his monsters!!!  
🤬🤬🤬☠☠☠🤬🤬🤬",en,Reply
hector_apolinar,"En cambio, el presidente @lopezobrador_
envío una carta al presidente de #China, #XiJinPing solicitándole la cooperación de su gobierno en la materia.
@Echinanews 
@XHNews https://t.co/J1OTpS87xH",es,Tweet
PeninsulaQatar,"#XiJinping calls for population-plan revamp as China’s demographic crisis builds

#China
https://t.co/jQtgkqQjIz",en,Tweet
Sigrid04856272,"@WeAreNotFood @mikkimouse00 #BanChina 
#BanChinesProducts 
#EndDogCatMeatTrade 
#XiJinping and his monsters!!!  
🤬🤬🤬☠☠☠🤬🤬🤬",en,Reply
Sigrid04856272,"@RileyTChiweenie @VPITV @AFP @SCMPNews #BanChina 
#BanChinesProducts 
#EndDogCatMeatTrade 
#XiJinping and his monsters!!!  
🤬🤬🤬☠☠☠🤬🤬🤬",en,Reply
Zhou_Li_CHN,"I am here in #London. 
The whole city is ready for #CoronationDay !  President #XiJinping’s special representative Vice President #HanZheng will attend the King’s coronation ceremony on May 6.

the photo is CC:@AmbNong https://t.co/fHqXSm61ar",en,Tweet
Pangea_84,@Canellelabelle W #XiJinping,und,Reply
