Screen Name,Text,Language,Tweet Type
Vaxmaxxed,@nexta_tv God DAMN that's a sweet gift. God know Zelenskyy spends enough time near the front for it to be a practical gift as well.,en,Reply
TTriggerMaster_,@realstewpeters The guy looks like Zelenskyy without the beard. How fitting.,en,Reply
NATOlizer,Zelenskyy on counteroffensive: We do not expect not achieving success https://t.co/6D7MKlQ6zW https://t.co/7qZHgT1QpV,en,Tweet
knizzle256,"@ITSec4me @BasedF15pilot @TreasChest Ukraine is “in” this fight for two reasons; military hardware provided to them from everyone else and Zelenskyy is still alive. Take away any one of those reasons, you’d all be Russian again already. Biden is the worst proxy-war leader ever. God speed.",en,Reply
realelybritt,"@lordbearwolf I would tell Zelenskyy,

 You can’t defeat Russia, Russia can’t defeat Ukraine.

That leaves only one possibility, end the war.

If Zelenskyy didn’t agree to a cease-fire, I would cut him off completely.

If Russia didn’t agree to a cease fire, I would arm Ukraine to the hilt.",en,Reply
SriBhartiya,Boycott Zelenskyy https://t.co/PdJ2A4Usdy,nl,Tweet
Bob53234720,@FluidityOFlight @Benjami7367095 @SpartaJustice @Frd9y Let’s start with Zelenskyy https://t.co/46PoAUvFQP,en,Reply
McCainInstitute,"“Zelenskyy said, ‘To fly, you need two wings. Don’t give me one wing and ask me when I’ll fly. I’ll never fly with one wing.’” -@natemook",en,Reply
NiklasNorman1,"@FoxofEris @veniteo If Putin were killed I certainly wouldn't shed a tear, but think of what taking the war to this level does.

Ukraine just shot down *their own drone* because they were paranoid about reprisals. If Zelenskyy is assassinated, I can imagine Putin pointing to that stamp to justify it",en,Reply
1AnnaT,"@prezidentpavel @ZelenskyyUa 🇺🇦💙💛✌️
I love the words Petr Pavel uses regarding the gift for President Zelenskyy...
'As a sign of respect for Heroism' 🫡
#StandWithUkraine
#ZelenskyyWarHero",en,Reply
Lifeis2love786,@PalestineCultu1 Zelenskyy is a very clever beggar. He probably made billions in the scam.,en,Reply
CarlosPTeixeir1,"@Prosperitas72 @Gerashchenko_en Such an unfound conspiracy theory! Zelenskyy had a choice of not fighting and leave the country. He stayed because he has the support of his people. Yanukovich run away, he had no support.",en,Reply
LGTVBBQ,@POTUS Is zelenskyy going to be there? We all know he won't miss out on a good handout with his favourite sugar daddy,en,Reply
ThisOldFarmhaus,"@FLOTUS Of course you do. Lining your pockets all the way. Does the average citizen get any benefit from the billions we've sent, or is that for the Biden and Zelenskyy Families? How are the people of Ukraine doing? I want to see how they are being taken care of.",en,Reply
Tamlinscathach,Misschien mag je nu wel Zelenskyy’s tasje dragen! Grote meid 👏 https://t.co/qViMptBEJ2,nl,Tweet
Alaskacryptogi1,@strathglass7982 @TonyAdreani @AwakenedOutlaw He’s done growing. Zelenskyy will never get bigger,en,Reply
BSBonner,"Two more areas added to United24: ""Education and Science"" and ""Demining"" – Volodymyr Zelenskyy speaking at United24 Summit — Official website of the President of Ukraine: https://t.co/ePwdVsBLoU",en,Tweet
RobynDODonnell,@KensingtonRoyal @FLOTUS @ZelenskaUA @RoyalFamily I can't stand #Zelenskyy!,en,Reply
anacottsteel,@MikeSmalltalk Zelenskyy should give her the seat...,en,Reply
Samanthar1190,"So Hunter Biden is starting a GO FUND ME
for money for a ""legal defense""  fund.  He should go ask Zelenskyy for the money. 
What an absolute POS. 
Seriously.",en,Tweet
camicroq,"Recap... 5 th May HIGHLIGHT ... Gonzo going down... and 3rd May, Zelenskyy in Finland, 4 th Zelenskyy in The Hague. WHAT A WEEK. Oh, and assassination attempt on ... 🤣🤪🥸https://t.co/PsMOhNy1zz",en,Tweet
JrLittlefield,"Ears that won't hear &amp; eyes that deliberately blur the truth...
""It remains unclear whether the drones were indeed sent by Ukraine or whether the attack in the heart of Moscow was a false flag operation by Russian intelligence.""  

https://t.co/FN9KTcNkVE",en,Tweet
RepCohen,"An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Tweet
RepCohen,"An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Tweet
BSBonner,"We are doing everything so that the world hears Ukraine, understands and helps our state – address of President Volodymyr Zelenskyy — Official website of the President of Ukraine: https://t.co/tDIMwMtqUz",en,Tweet
sumansony1512,@ZelenskyyUa Hello!!!Zelenskyy ✌🏻,nl,Reply
MMXXIV24,"Czech President Pavel gives 

Zelenskyy vintage pistol, telling him 

he's going to need it...

(Ukraine Kiev Kyiv Kremlin Russia 🇷🇺

Putin Sevastopol Crimea Bakhmut) https://t.co/xSyHUuc4jS https://t.co/mwFsOh5VYi",en,Tweet
snarky_sooner,@Maga4Justice I wonder if  Zelenskyy’s wife is a WINO (wife in name only). The only benefit to marrying him would be the shopping sprees in Paris. I wonder if this is one of her purchases while she shopped with American money.,en,Reply
10WallStreet,Don't Read This...Its Blocked Anyway...😂😁#msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #EU #g7 #drudge #bloomberg #kiev #Zelenskyy https://t.co/BRXFiVMkFe,en,Tweet
tzavjoz,@Spriter99880 So Zelenskyy can take himself out before the CIA does. Nice!,en,Reply
fredkat24839578,@stillgray Zelenskyy did one hell of a selling job. Its as though we were very senior citizens and just didn't know.,en,Reply
ProtossStan,"@KamepinUa Zelenskyy if you're reading this,please send this vatnik to Donetsk coal mines 🙏🙏🙏",en,Reply
LitbillyGirl,"@tomhajjar @KeithWi40910881 @SarahAshtonLV That is not a sufficient response to a factual statement. 
You are equating apples and oranges again. 
Zelenskyy's CITIZENS are being raped, tortured, murdered, blown to bits on their own land. 
Our TROOPS were fighting thousands of miles away from home doing what soldiers do.",en,Reply
Samanthar1190,@RoyBarnesDallas Tell him to go ask Zelenskyy for the money.,en,Reply
10WallStreet,#AzovNazis are Like Hitler in Last Days of #WWII. They're Spewing Crazy Nonsense. Only a Matter of Time Before #Zelenskyy &amp; #Azov are Gone https://t.co/wE1yYB0YrS #msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #germany #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #EU,en,Tweet
Catherinecockb6,"@UnityNewsNet That photo of the two of these people shaking hands and laughing make me sick to the bottom of my stomach Two Schwab WEF people working for committee 300 New World Order World Health organisation. Zelenskyy billionaire always with his begging bowl,and his Nazis filled government",en,Reply
FiddleFella,"@amduffany @catchywrench And a Zelenskyy that didn't also have the utmost respect for F.L. Zelenska wouldn't be the Zelenskyy that we all know and love.

He's hawt primarily because he's a legit good person. Is how it is. 🤷‍♀️",en,Reply
USA_Patriot_76,@heyitsmeCarolyn Zelenskyy is about to kick Putin and Russians asses out of  Ukraine--money well spent.,en,Reply
ChinatownVoices,@Spriter99880 Zelenskyy is laughing all the way to the bank.,en,Reply
oldmanbeaston,Finally Zelenskyy having the real bosses in town. https://t.co/5LCUdezCY0,en,Tweet
Rajahbear16,"@AdamKinzinger Good lord, you believe Zelenskyy.",en,Reply
isaacsharrison,@nexta_tv Time for Zelenskyy to go Rush B site,en,Reply
LitbillyGirl,"@tomhajjar @SarahAshtonLV @JuliaDavisNews This happened 60+ years ago. Are you still triggered by Jane Fonda after all these years? 
We weren't being erased on our own soil by N Vietnamese.
""Opposition"" to Zelenskyy is pro-Putin, who is butchering Ukrainians on Ukrainian soil.",en,Reply
Alfaiomi,"The largest targeted collections of UNITED24 were:

Over UAH 500 million was raised for the first fleet of naval drones.
""Azovstal. A symbol of unbreakability"" raised nearly UAH 300 million. 
Over UAH 655 million was collected for ""Rebuilding Ukraine. 
#Zelenskyy https://t.co/diBF7nUm8g",en,Tweet
scdoller,@YrFavoriteTRex @OwenBenjamin Yeah- being a nazi supporter AND a jew must be really tough on Zelenskyy....,en,Reply
ksicaks,"@LetsBeRealNow3 @PaxJavelin @Spriter99880 Still, people died, how can anyone be happy about it? Zelenskyy is fine, he's having the time of his life and will have it too after the war has finished. and ordinary, young men died. And that's sad",en,Reply
UK_Engineer_Mat,"@IMO123444 @jacksonhinklle @GonzaloLira1968 The US, UK, France and Germany have openly blown up ant diplomatic tracks (lets leave out the NS2 destruction which also removed a large EU incentive for diplomacy anyway)…

Ukraine has also banned negotiations with Russia 

https://t.co/BG3q4fqC10

Some diplomat…",en,Reply
maysif_fayget,"@jacksonhinklle Zelenskyy, Prigozhin keeps spilling his spaghetti.",fi,Reply
StateDeptSpox,"We welcome the visit of the Bahraini Foreign Minister Dr. Abdullatif bin Rashid Al-Zayani to Kyiv, where he met with Ukrainian President Zelenskyy and other Ukrainian government leaders. The U.S. strongly supports our good partners, Bahrain and Ukraine, standing together.",en,Tweet
kysakunatsume,@mblancaslri El paralelismo del 5 de Mayo con la heroica defensa de Ucrania es impresionante. Es una pena que se haya partidizado tanto la guerra de Ucrania aquí. Por mínima decencia y respeto Zelenskyy merece ser declarado Benemérito de las Américas hoy.,es,Reply
voakhmer,លោក Zelenskyy ថា ការ​វាយបក​និទាឃ​រដូវ​នឹង​ចាប់ផ្តើម ​ទោះ​មាន​ឬ​គ្មាន​យន្តហោះ​ចម្បាំង​លោក​ខាង​លិច https://t.co/17gxKRU03B,km,Tweet
johnhan50840890,"@apmassaro3 ukraine  piss off  with zelenskyy  all a piss off nothing a lie  criminal zelenskyy , rob money from EU  America  and weapons .",en,Reply
PaulaBe41186253,"@EdKrassen Oh yes Ed, Zelenskyy would do anything unethical! Smh",en,Reply
CsarGeraldo,"@ZelenskyyUa 1- Excelentíssimo Senhor Presidente Zelenskyy, parabéns pelos seus trabalhos e de toda a Ucrânia desde o dia 24 de fevereiro de 2.022. Fé em Deus Criador, resiliência, paciência, inteligência, estratégia e perseverança interna em conexão com as nações",pt,Reply
K4rm4ness,"@MiaOnIce @GrammyDada @MinorSky3 @TheStormRedux From what I found, Zelenskyy is a hell of a guy. Admirable.",en,Reply
ExpatPatriotTW,"@Paul4dogs @realstewpeters Can say the same about anyone with the Ukrainian flag in their bio and Zelenskyy. The big difference though is Zelenskyy is bi, so he would let you ride it.",en,Reply
geapardy,"@nali_sonia @TreasChest Nah, you'd better play the piano the Zelenskyy way!",en,Reply
FellaFanatic,"@LexiMiamiamo123 Yes!!! It’s the Potties for Peace Plan!
Zelenskyy to Ruzzian soldiers:
Take the toilet bowls and go HOME. https://t.co/nrQdPiG7aO",en,Reply
USA1stWins,"@HunterdonMan @tomdolanjr How come we haven’t heard much about Ukraine? Maybe they got all the money they were promised? It was front page every day for weeks, is it over? This mess better be investigated.. nothing seems right yet Americans must pay our debt including the $120 Billion in cash to Zelenskyy",en,Reply
10WallStreet,#EU has Gone WAR CRAZY.🥴It Won't Survive a New World Order. Who's Pushing Its Destruction? https://t.co/IT4ydAN4mV #msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #bbc #g7 #drudge #bloomberg #kiev #Zelenskyy #Biden,en,Tweet
Intent_A,"#Russia #Donetsk #Donbass #Ukraine #UkraineNazis 
#ZelenskyWarCriminal #Zelenskyy #Zelensky 

On May 5, 2015, a memorial complex ""Angels' Alley"" was opened in Donetsk in memory of the dead children of Donbass. https://t.co/lspkbdwUtF",en,Tweet
LitbillyGirl,"@tomhajjar @SarahAshtonLV We weren't being invaded and murdered on our own soil on the daily by the North Vietnamese and Chinese. 

In Zelenskyy's case, ""opposition"" means backed by the Kremlin. The same ones who are butchering his people. 

Apples and oranges. Disingenuous argument.",en,Reply
brendo5131,"@nexta_tv I really hope Zelenskyy does the world a favor and says there will be no quarter given to any invaders from this point forward!!! Banned munitions over what’s left of a city… enjoy the war crimes tribunal Prigozhin.  🖕🏼🖕🏼🖕🏼
#SlavaUkraine",en,Reply
Flam3emperor622,@CheesyKatya @IwriteOK Putin would get clapped by Zelenskyy.,en,Reply
AvgoustisGeorge,@RobertTwitcher @yourfavbot2 @officejjsmart Even Zelenskyy was in on it. https://t.co/QjLJFQOWXR,nl,Reply
JackPenalozaYT,"@ArmchairCopelrd Zelenskyy when he's told they found him:
https://t.co/SrIiyByxqF",en,Reply
88888eight1,@Doranimated Zelensky is far from bring a puppet.  If anything he’s being constrained militarily because military assistance is not as forthcoming as Zelenskyy would prefer.   USSR Soviet republic leaders were puppets.,en,Reply
wobbles_weeble,@Catheri08414490 @albafella1 Russia had kill teams in Kyiv at the start of the war with the sole purpose of killing Zelenskyy &amp; his staff. Not to mention the missile attacks on Kyiv going on 14 months now.,en,Reply
co_froggymax,"Hunter Biden opened a GoFund me account to help with his lawyers and living expenses! 
Are you friggin serious?! 
Ask Zelenskyy! https://t.co/6YwOnGi4Xf",en,Tweet
Rebecca1Hoover,Zelenskyy has betrayed his people and seems focused on killing Ukrainians in senseless continuous battles. @JoeBiden https://t.co/5pyCtisVA0,en,Tweet
realravensfan2,@acisturntdown But Zelenskyy never commented,en,Reply
dumptru32552319,"@AccountableGOP Orrrrrr a MORE likely scenario. Once TFG got the ax, he told Putin have at it! I want Zelenskyy to pay! And Biden will take the blame!",en,Reply
jesse_z06,What’s does Zelenskyy have to do with black rock??? Lmao it’s a big fucking club 😂 https://t.co/F0RBuCB782,en,Tweet
Rebecca1Hoover,@PaigeMistal @ZelenskyyUa A lot of people think Zelenskyy is a liar and should be tried for crimes against humanity. We need to stop this senseless war. @joebiden,en,Reply
philospher_k,@ClownWorld_ Zelenskyy paying for it all,en,Reply
ThingsHereNow,@MarioNawfal https://t.co/EVnO1jwpl5,und,Reply
Makaisia,@Spriter99880 @mk1977_ewa Too much #cocain #zelenskyy 🤡 https://t.co/NqCg3WFXtG,en,Reply
BabaUmarr,"Arnab says Pakistani guest sounds like “Zelenskyy on drugs” 

this show feels like 2007 Bheja Fry movie: pay a guest to get humiliated 

https://t.co/77IwD0Rs0R",en,Tweet
Dogzpizzle,"Ok well , that's it for me for tonight fellas, been a good night, taken down 2 scammers, unfortunately they are like cockroaches and there are more out there, stay sharp.
Be excellent to each other fellas.
sleep well
For tonight I changed from Zelenskyy to Putler, hope you enjoy https://t.co/sejN3O6Wrp",en,Tweet
d3vilicious,"@THEVERSES2 @DavantioS @iampikachus @RusEmbJakarta Bukan buru-buru, tapi Putin mengaggap enteng lawan. Putin pikir Ukraine dan segenap rakyat dan militernya tidak akan bersatu melawan - plus Putin lupa jika rakyat Ukraine mencintai  presidennya, Zelenskyy yg pro rakyat.",in,Reply
Dieu_Le_Berger,"@PR93095542 Et Putin n’en a pas profité pour inonder Kyiv de missiles hypersoniques pour faire passer Zelenskyy pour un pleutre?

quel génie!",fr,Reply
commonsense0203,@OostraDj @wdrvdweerd De man wordt niet gehaat maar zijn acties wel. Zelenskyy is een dictator en een dief. Bovendien bedenkelijk hoe die man aan de macht is gekomen.,nl,Reply
NowMyNews,"After the alleged attack on the Kremlin, Putin's circle calls for Zelenskyy to be killed
https://t.co/OZ7XRhzEQI

#LatestNews https://t.co/smPBFOpgGT",en,Tweet
yurimarine,『ゼレンスキー大統領がウクライナをさらに完全な破壊へと追い込み続けているため、彼が紛争の過程で殺されるか、自国民の手によって殺されるのは時間の問題です。』 https://t.co/rJ6CsjgoWg @myscotlandtodayから,ja,Tweet
LawrenceLupins2,"@KensingtonRoyal @FLOTUS @ZelenskaUA @RoyalFamily Most Americans are tired of spending billions to support Ukraine which is not a U.S. ally, not in NATO, not a Democracy (ask the opposition &amp; religious leaders Zelenskyy has imprisoned) and corrupt. There needs to be a negotiated end to this war. Shame on Biden for not pushing it",en,Reply
jack13454552017,It is my personal believe the world would be a much safer place for millions of people in the world if the Russian word eliminate Zelenskyy. This guy is a nut and he needs to go. https://t.co/pVItw5MubW,en,Tweet
Orgetorix,Volodymyr Zelensky's new golden gun - everything you need to know https://t.co/VMwOIvcjm3 via @Telegraph,en,Tweet
giosce,@Maks_NAFO_FELLA Zelenskyy will ridicule all Kremlin clowns!,en,Reply
STzu20,"@zerohedge BlackRock to underpin Ukraine reconstruction

Ukraine CBDC on Stellar

Stellar partnered with UN re Ukraine aid

Stellar partnered with BlackRock (CTFC)

Stellar built for tokenisation; BlackRock planning asset tokenisation&gt; $8 TRILLION AUM

#XLM #STELLAR

https://t.co/jnHumPv8Vi",en,Reply
ebean617,@RepAndyBiggsAZ @RepJamesComer Wait? Now whistleblowers are legit? The one that exposed Trumps phone call to Zelenskyy was labeled a traitor by your party?,en,Reply
AllWeatherExte1,@Questio51452872 @DineshDSouza 2 billion? Zelenskyy has him beat by about 128 billion.,en,Reply
yurimarine,"「西側諸国は、ゼレンスキーの継続的な要求と膨大な買い物リストにうんざり。
""これか、これか、次のものをくれれば勝てる ""というのは、もう古くてうんざりしている。コカインに溺れた海老ゼレンスキーとその手下の知恵遅れのバンデライツがこれを見ないわけがない。』 https://t.co/rJ6CsjgoWg",ja,Tweet
DDM1991,@Spriter99880 Where’s Zelenskyy leader og Ukraine hiding now in Berlin and his shopaholic wife on London with the princess of Wales and Biden’s wife. Meanwhile Ukrainians are going to be send back? What do you think is going to happen to them specially the men? And you say EU isn’t evil,en,Reply
salutchicago,@MashaliaSamuel @Spriter99880 Zelenskyy heroically wiping down the Ukrainian population,en,Reply
yurimarine,"『ウクライナがロシアに劣勢で、NATOが戦いに来ないのは目に見えているにもかかわらず、「ウクライナは勝つ」と言う。""西側兵器がなければ勝てない ""と、彼は構想外の ""戦争計画 ""を1年以上続けている。』
Zelenskyy is a Dead Man Walking https://t.co/rJ6CsjgoWg @myscotlandtodayから",ja,Tweet
CymbusN,Zelenskyy’s trip to Finland and Netherlands secures additional weapons from allies https://t.co/hL8bcPFDno,en,Tweet
austrisslavins1,The President of Ukraine🇺🇦 Volodymyr Zelenskyy greeted His Beatitude Sviatoslav on his birthday https://t.co/SbssOtTKiN https://t.co/kF7vos0cZT,en,Reply
ncreader2021,"@ZichenWanghere Guess what when the GOP get power next year, Zelenskyy will be put in jail",en,Reply
Alfaiomi,"""We conceived the UNITED24 platform as one that would unite the whole world around Ukraine's aid. After a year of work, it can be said that this has been achieved,"" said the President of Ukraine Zelenskyy https://t.co/XgYehZa8bx",en,Tweet
B3man1,"@therobprimo1 @JustinTrudeau Zelenskyy couldn't make it, with the war and all. But his wife made it and met with the Princess of Wales (Kate) and US 1st Lady Jill Biden this afternoon for tea.",en,Reply
