Screen Name,Text,Language,Tweet Type
waleedmoin,RT @ashoswai : Modi’s Road Show in India- Even Imran Khan’s photo draws more crowd in Pakistan!  https://t.co/N8MPekKFJB,en,Retweet
indianinform,"RT @MJ_007Club : It is a historical achievement that how many times Modi's regime has uplifted the nation.

But J*h*dis like Rana Ayyub will never talk about this. Instead leaves no stone unturned to slander India's image anyday, anywhere

Follow @MJ_007Club for more updates &amp; interesting tweets",en,Retweet
kmarkri,"RT @zoo_bear : Five Special Forces soldiers were killed in action in Rajouri sector today.
Condolences Tweets by 
Narendra Modi : 0
Rajnath Singh : 0
Amit Shah : 0
Smriti Irani: 0
JP Nadda: 0 https://t.co/WNRQLgXJsn",en,Retweet
i_ashish_misra,"RT @manoj_begu : #BigBreaking

"" कहते हैं, केरला स्टोरी सिर्फ एक राज्य में हुई आतंकी साजिशों पर आधारित है। 

देश का इतना खूबसूरत राज्य, जहां के लोग इतने परिश्रमी और प्रतिभाशाली होते हैं, उस केरला में चल रही आतंकी साजिश का खुलासा इस फिल्म में किया गया है।""- PM Modi @narendramodi 

 PM Modi  जी आगे… https://t.co/U0aB738tUd https://t.co/5ygjPe5iEe",hi,Retweet
zack_crawley313,RT @tequieremos : Narendra Modi will take the war to Pakistan before the 2024 Lok Sabha elections. Islamabad should not be in any doubt! https://t.co/iEt03i3MNk,en,Retweet
indianinform,"RT @MJ_007Club : It took two days for the commandos to arrive from Delhi when Rajiv's assassins were ambushed near Bangalore

It took a day for the commandos to arrive from Delhi during the Mumbai attack

It is seen that Indians are being rescued from Sudan in 7 minutes under Modi's regime.",en,Retweet
VilasBv,"RT @MJ_007Club : It is a historical achievement that how many times Modi's regime has uplifted the nation.

But J*h*dis like Rana Ayyub will never talk about this. Instead leaves no stone unturned to slander India's image anyday, anywhere

Follow @MJ_007Club for more updates &amp; interesting tweets",en,Retweet
Suraj26006932,"RT @Vadicwarrior : Modi ji deserves all credits, support and love for he is the one who cares for 140 crore family

This kid stole the show.

#karnataka #karnatakaelections2023 #modi #bjpkarnataka #BJP4IND #bjptamilnadu #Annamalai #NarendraModi #AmitShah https://t.co/FJX5QM6TST",en,Retweet
Sryadav42,"RT @VarunKrRana : You will get awards and foreign tours for speaking against Modi 

You will get detention or arrest by Police for speaking against Arvind Kejriwal 

Conclusion: Modi is fascist",en,Retweet
DaanishBinNabi,RT @SpiritOfCongres : The growing popularity of Congress is giving sleepless nights to Modi &amp; Shah.. https://t.co/oOqRvB2PNl,en,Retweet
Mohammad_Kadir1,RT @zoo_bear : Tweets on Karnataka Elections by Amit Shah : 5 RTs of PM Modi's tweets . #KarnatakaAssemblyElection https://t.co/MsJrVfrmOt,en,Retweet
f5seafood,RT @SpiritOfCongres : The growing popularity of Congress is giving sleepless nights to Modi &amp; Shah.. https://t.co/oOqRvB2PNl,en,Retweet
JacobMaxReal,"RT @zoo_bear : Five Special Forces soldiers were killed in action in Rajouri sector today.
Condolences Tweets by 
Narendra Modi : 0
Rajnath Singh : 0
Amit Shah : 0
Smriti Irani: 0
JP Nadda: 0 https://t.co/WNRQLgXJsn",en,Retweet
ShaqAhmed3,RT @ashoswai : Does anyone ask what India has achieved from Modi's revocation of Article 370? https://t.co/WDhT481hFB,en,Retweet
indianinform,"RT @MJ_007Club : Indian Army is showered with praise from all over the world, Modi has gone down in history like Israeli PM's

BJP has proved that the Modi govt will go to any extent to protect its people

The details of the pilot &amp; crew chief who accomplished this feat are yet to be released.",en,Retweet
LalitSingh85,"RT @mini_razdan10 : Heart wrenching plea of a P@kistani Hindu to Shri 
@narendramodi  ji 
@AmitShah  ji 
@DrSJaishankar  ji 

@satyanveshan  ji  PLEASE RT MAX SO THAT HIS VOICE REACHES TO OUR MODI JI AND EVERUOBR TAGGED.  🙏🙏 https://t.co/7c7iLWpaW2",en,Retweet
indianinform,"RT @MJ_007Club : Modi's India has made a great adventure in the world. Surprisingly this happened on Saturday April 29, 2023

The Indian media did not hold its breath &amp; neither did Modi

Why didn't you speak? That's diplomacy, why should we be the 1st to say what the world is going to talk about?",en,Retweet
javedm101,RT @ashoswai : Modi’s Road Show in India- Even Imran Khan’s photo draws more crowd in Pakistan!  https://t.co/N8MPekKFJB,en,Retweet
jot_prb18031,"RT @1abhay123singh : International Gold Medal जीतने वाले खिलाड़ी बेटियों की आंखों की खुशी के आंसुओं को दर्द और बेबसी से भर दिया।

Modi है तो मुमकिन है। 🙏 #WrestlersProtest https://t.co/2XsDSQ0akh",hi,Retweet
jame_s_0_0_7,"RT @ysathishreddy : For #Modi, it’s all about Elections 👇 https://t.co/1micUyzIQc",en,Retweet
SheshmaUmesh,"RT @AAPRajasthan : “Modi जी,

जिस दिन Kejriwal के खिलाफ़ एक नए पैसे का भ्रष्टाचार मिल जाए, चौराहे पर फांसी दे देना।

लेकिन ये रोज़-रोज़ की नौटंकी बंद करो।”

—CM @ArvindKejriwal https://t.co/fwmbSznH9K",hi,Retweet
Rohit3909792488,"RT @DeepikaBhardwaj : Our househelp is talking to my mother about PM Modi &amp; expressing sadness over demise of #Heeraben

I don't remember when was the last time i saw any househelp feeling sad for a political figure 

Mr. Modi draws so much love",en,Retweet
Anuj79540,"RT @RitikGupta1999 : “Modi जी,

जिस दिन Kejriwal के खिलाफ़ एक नए पैसे का भ्रष्टाचार मिल जाए, चौराहे पर फांसी दे देना।

लेकिन ये रोज़-रोज़ की नौटंकी बंद करो।”

—CM @ArvindKejriwal https://t.co/JApKJryjqp",hi,Retweet
ManyMen92611,"@VivekGRamaswamy Mini Modi is a one trick pony. 

Any actual policy positions that are not lifted from team Trump?",en,Reply
NameIsSudee,"RT @shashii_twitz : King @KicchaSudeep 👑❤️
BOSS &gt;&gt;&gt;&gt;  @BJP4India @BJP4Karnataka 🥴

BOSS road show at chamarajanagara🔥
Modi roadshow at namma Tumakuru https://t.co/0foUgaLMol",tl,Retweet
Shantag58160814,"RT @nitin_gadkari : Karnataka's Modi Love!

#PoornaBahumata4BJP #BJPYeBharavase #BJPWinningKarnataka

@narendramodi
@BJP4Karnataka
@BJP4India https://t.co/3TAIxWZaqk",und,Retweet
baasha_meme,"RT @ChekrishnaCk : This is the reality of Modi's road show in Tumkur. Godi Media is saying huge crowd gathered to see Modi and Tumkur has been MODIfied. But one can very little crowd is being asked to run behind the car to fill up empty places

Great insult to Modi
BJP is doomed
#BJPFailsKarnataka https://t.co/Ux9CgOdHuJ",en,Retweet
Gaddapa,"RT @niiravmodi : This is Narendra Modi, PM of world’s largest democracy.

He went to Bengaluru for Karnataka election campaign for BJP.

He managed to pull only 800-900 people in his road show.

This means only one thing, Karnataka is gone from BJP this time. https://t.co/omaT0sxINe",en,Retweet
ramshiv6,"RT @SheetalPronamo : Is this Hijabi girl a wrestler / a victim of sexual harassment ?

Why is she raising slogans which are 

Anti Hindu
Anti RSS
Anti Brahmin 
Anti Modi  

Does this really look like a Wrestler’s protest ? https://t.co/eHSL4eG7IS",en,Retweet
ImranistJunooni,"RT @ThisHaroon : We will retaliate by leaking the phone call of modi's wife, anay do bharwon ko. https://t.co/RUV9jcP2hI",en,Retweet
MdWajahatAli82,"RT @zoo_bear : Five Special Forces soldiers were killed in action in Rajouri sector today.
Condolences Tweets by 
Narendra Modi : 0
Rajnath Singh : 0
Amit Shah : 0
Smriti Irani: 0
JP Nadda: 0 https://t.co/WNRQLgXJsn",en,Retweet
ShahulH68603182,"RT @zoo_bear : Five Special Forces soldiers were killed in action in Rajouri sector today.
Condolences Tweets by 
Narendra Modi : 0
Rajnath Singh : 0
Amit Shah : 0
Smriti Irani: 0
JP Nadda: 0 https://t.co/WNRQLgXJsn",en,Retweet
Rohit3909792488,"RT @DeepikaBhardwaj : I always call out sick men. Don't remember being quiet about it ever so ur tweet is quite misplaced 

As far as pathological liars are concerned, there are both men &amp; women who use others &amp; are infidels. But only men don't have any recourse, women do

Ur an idiot to bring Modi in https://t.co/BA9IWhVH60",en,Retweet
Funlovemad,"RT @SirKazamJeevi : I have seen Modi offering Namaaz &amp; Smriti Irani in a Burqa waiting for him outside the masjid 
.
.
.
In my dreams",en,Retweet
Mangala59791529,"RT @mini_razdan10 : Heart wrenching plea of a P@kistani Hindu to Shri 
@narendramodi  ji 
@AmitShah  ji 
@DrSJaishankar  ji 

@satyanveshan  ji  PLEASE RT MAX SO THAT HIS VOICE REACHES TO OUR MODI JI AND EVERUOBR TAGGED.  🙏🙏 https://t.co/7c7iLWpaW2",en,Retweet
MdWajahatAli82,"RT @zoo_bear : Tweets by PM Modi on Karnataka Elections : 18 + 15 
#KarnatakaAssemblyElection https://t.co/4eSFdlvdHU",en,Retweet
therealkalakar,"11. PM Modi's road-show will span from 11 am to 1 pm for 10.1 km, then from 4 pm to 10 pm for 26.5 km.",en,Reply
gangte_elson,"RT @ashoswai : Five soldiers were killed today in Kashmir, Manipur is now burning for a week. But, Modi is doing his road show!",en,Retweet
therealkalakar,"9. Meanwhile, Prime Minister Narendra Modi will conduct a 36.6 km road-show in Bengaluru on May 6.",en,Reply
