Word,Polarity
very,0.2
jail,-0.1
late,-0.3
sorry,-0.5
least,-0.3
foreign,-0.125
precious,0.5
kind,0.6
down,-0.15555555555555559
huge,0.4000000000000001
direct,0.1
much,0.2
poor,-0.4
clear,0.10000000000000002
ready,0.2
hardly,-0.2916666666666667
excited,0.375
thanks,0.2
due,-0.125
win,0.8
few,-0.2
seriously,-0.3333333333333333
proud,0.8
good,0.7
killed,-0.2
flat,-0.025
great,0.8
long,-0.05
live,0.13636363636363635
active,-0.13333333333333333
new,0.13636363636363635
major,0.0625
fresh,0.3
significant,0.375
supporting,0.25
main,0.16666666666666666
busy,0.1
responsible,0.2
illegal,-0.5
early,0.1
sec,-0.1
unprecedented,0.6
decreased,-0.4
common,-0.3
wants,0.2
interested,0.25
wise,0.7
more,0.5
full,0.35
welcome,0.8
excellent,1.0
waste,-0.2
capable,0.2
far,0.1
special,0.35714285714285715
action,0.1
surprised,0.1
desperate,-0.6
crushing,0.4
hard,-0.2916666666666667
right,0.2857142857142857
strong,0.4333333333333333
fast,0.2
rare,0.3
best,1.0
popular,0.6
single,-0.07142857142857142
mature,0.1
laugh,0.3
better,0.5
most,0.5
wow,0.1
badly,-0.6999999999999998
spontaneous,0.6
ugly,-0.7
potent,0.5
“sick,-0.7142857142857143
corrupt,-0.5
pity,-0.1
harsh,-0.2
brilliant,0.9
social,0.03333333333333333
failed,-0.5
propaganda,-0.1
peaceful,0.25
cow,-0.13333333333333333
typical,-0.16666666666666666
mod,0.2
questionable,-0.5
dangerous,-0.6
other,-0.125
general,0.05000000000000002
generally,0.05000000000000002
failure,-0.3166666666666667
arrest,-0.05
fake,-0.5
love,0.5
surprising,0.7
unfortunate,-0.5
bad,-0.6999999999999998
