Screen Name,Text,Language,Tweet Type
karjzic,"RT @lorena3afrodita : Pero la culpable es Rusia

#OTANno #Rusia #Putin https://t.co/V9OtdgiOts",es,Retweet
DB73252640,"RT @rebekah0132 : US government tried to cancel my book #PutinsPlaybook, as I exposed the spy agencies' incompetence about #Putin, and the #PENTAGON 's unpreparedness to confront the Russian threat.

Although censored by the feds, I will not be silent.
#RussiaUkraineWar https://t.co/XGD9zuASJb",en,Retweet
ani_malisch,"RT @mcpolitik : Wenn Selenski während der Sommer-Session vor dem Schweizer Parlament sprechen möchte, sollte auch #Putin die Gelegenheit bekommen, dies zu tun. 

JA zur #Neutralität!

Neutralität bedeutet, dass man zu keiner von zwei Seiten gehört. Wer neutral ist, mischt sich nicht ein. Ein… https://t.co/9PVLQwUjwo https://t.co/6R5sNfFM1P",de,Retweet
Rayco2023qba,"RT @cuba_bolivia : Así anda #Zelenski por toda Europa. El temor a #Putin hace maravillas.
#Russia. https://t.co/aCny4H3ofJ",es,Retweet
SleepyJ59257893,"determination of the command and fighters to fulfill the order of the Supreme Commander-in-Chief of #Russia Vladimir Vladimirovich #Putin.""",en,Reply
Lila79703094,"RT @Judgenap : Russia's 9/11 - Kremlin Attack
Alastair Crooke #kremlin #moscow #Putin 
see full vid: https://t.co/HjMWYLSi9p https://t.co/oiozR2EamK",en,Retweet
Lila79703094,"RT @Judgenap : Putin doesn't need False Flags
Putin won't be provoked
@raymcgovern #putin #russia #kremlin #ukraine 
see full vid: https://t.co/8ilNYsJD5y https://t.co/hgdC0fu2MH",en,Retweet
BenedictMPWhite,RT @raging545 : VIDEO from Bakhmut this evening showing large parts of the city ablaze after Russia dropped Thermite incendiary munitions on it #Ukraine #Russia #Putin #Ukrainewar #UkraineRussiawar #RussiaUkrainewar https://t.co/Q711H118YP,en,Retweet
BenedictMPWhite,RT @raging545 : VIDEO from Bakhmut showing three Ukrainian tanks firing at a Russian position within the city. #Ukraine #Russia #Putin #Ukrainewar #UkraineRussiawar #RussiaUkrainewar https://t.co/VQEz7ks3e4,en,Retweet
jefemaestro1993,"RT @lorena3afrodita : Pero la culpable es Rusia

#OTANno #Rusia #Putin https://t.co/V9OtdgiOts",es,Retweet
alexander101177,"RT @Anonymous9775 : ++EIL++
#Wagenknecht schlägt #Putin für Friedensnobelpreis vor!
#Karlspreis #Selenskyj #Bakhmut https://t.co/1IbJzAIZhk",de,Retweet
MladenKiso,"RT @Zakaria_Z_Army : #Denazification by fire😍 for the last 10% of #bakhmut still held up by Nato rats
Looks like #Russia will take full control of thr city before May 10th celebrations and #putin speech

#ukraine #ukrainewar 
#UkraineRussiaWar https://t.co/Ohu3s3Kx6R",en,Retweet
CptCepni1453,"RT @OsintTurk : 🇺🇸 Amerikan istihbaratı, yeni açıklamalarda bulundu

📢 İşgal hareketi planlandığı gibi gitmedi

🇷🇺 Rus ordusu taktik değiştirirken Putin çatışmayı uzatıyor

#SONDAKIKA #Ukrayna #Rusya #ABD #Putin 

https://t.co/NaU0wsxcuk",tr,Retweet
BenedictMPWhite,"RT @raging545 : VIDEO of smoke from a fire after explosions were heard in Kursk, Russia near the Ukraine border. No further details given #Ukraine #Russia #Putin #Ukrainewar #UkraineRussiawar #RussiaUkrainewar https://t.co/Mvazdqtp1e",en,Retweet
gustahot87,"RT @edd_cast : Yevgueni Prigozhin, líder del grupo militar privado Ruso PMC Wagner, que combate en Bakhmut, #Ukraine, mostró decenas de sus soldados muertos en combate, y con insultos culpó al alto mando militar de #Putin de su muerte, al no entregarles municiones.
#RussiaIsATerroristState https://t.co/E3qXnmbk92",es,Retweet
StormqueenPaula,"RT @312CommonSense : Vote @RobertKennedyJr to end the #UkraineWar! It's time that we negotiate a peace settlement between #Russia and #Ukraine. #Zelensky &amp; #Putin need to come to terms. The American people will no longer fund this proxy war.

#Kennedy24 #RFKJr #Kiev #PeaceNow
https://t.co/UHN8x3t9dR",en,Retweet
IamOSFA,Yes ma'am. Hoping for a swift and 100% @Ukraine  victory sooner than later. Too many innocnet people dying at the hands of this mental midget #Putin https://t.co/nYshdckJDb,en,Tweet
LudmilaVasilg,"#PUTIN held a briefing session with permanent members of the Security Council

https://t.co/OgBX6NUAZJ

#BBC #BBCNews #Guardian #CNBC #Dailymail #WSJ #Bild #NYT #AP #AFP #Reuters #Spiegel #Euronews #Times #BuzzFeedNews #Economist #Thehill #cnn #FoxNews #dwnews #Politico #SRF #ABC https://t.co/dyIOrp2BIF",en,Tweet
DalkinLeo,"RT @NatalkaKyiv : 🇵🇱 Poland dismantled yet another monument of gratitude to the red army.

It’s rather amazing how one man managed to completely destroy his country’s legacy. 

#Putin #RussiaIsANaziState #RussiaIsATerroristState #Poland https://t.co/CBgUXO2tiY",en,Retweet
josevil46836315,"RT @cuba_bolivia : Así anda #Zelenski por toda Europa. El temor a #Putin hace maravillas.
#Russia. https://t.co/aCny4H3ofJ",es,Retweet
googol_jqk,"RT @TWMCLtd : 2
It's another long shouty statement by #Wagner owner Yevgeniy Prigozhin, who continues to posture for position as the ""sole, true hero of #Russia"" as people jockey for position to replace #Putin, whose days are now numbered with a clear victory unlikely.

Here's part 2: https://t.co/ZblKOKABDC",en,Retweet
FraterVentus,RT @ganga2410 : #Putin e l’espansione della NATO https://t.co/K2YUbl1YNx,it,Retweet
EdwardJMccann3,"RT @NatalkaKyiv : 🇵🇱 Poland dismantled yet another monument of gratitude to the red army.

It’s rather amazing how one man managed to completely destroy his country’s legacy. 

#Putin #RussiaIsANaziState #RussiaIsATerroristState #Poland https://t.co/CBgUXO2tiY",en,Retweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to #Russia

https://t.co/TEeydhi778

#Yahoo #YahooNews #Sun #vox #Daily_Express #CTVNews #Blick #France24 #Riformista #RaiNews #tg24",en,Tweet
