Screen Name,Text,Language,Tweet Type
SpiegelEmiliano,"RT @C21Noticias : 🔴La @SEMARmx detectó en Michoacán un cargamento de origen chino con 600 bultos de resina de combustible con #fentanilo, informó el @AlmiranteSrio.

➡️ @lopezobrador_ enviará una carta a su homólogo de China, #XiJinping, con información sobre el hallazgo.

https://t.co/VYuUCjlOVA",es,Retweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/kB4u6Y3FkG",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/rVfEhn9Pag",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　5月5日，中共中央总书记、国家主席、中央军委主席、中央财经委员会主任习近平主持召开二十届中央财经委员会第一次会议。习近平指出—— https://t.co/rNU52nVaHm",zh,Tweet
wucheng47894435,RT @ChinaDaily : Thursday marks China's Youth Day. President Xi Jinping attaches great importance to the growth of youth and particularly urges the young people to contribute to national rejuvenation. Here are some highlights of his quotes on youth. #XiJinping #XiSays https://t.co/kpOBYRWMEC,en,Retweet
upasakabala,"#China #XiJinping China Cracks Down on Citizens Abroad as People Flee Country : ""China's influence in the U.N. and other international institutions are diminishing because of its gross violations,"" a human rights expert told Newsweek. https://t.co/N0EHoHdptq",en,Tweet
Jane13511,"RT @GordonGChang : #China’s regime will use the amendments to its Espionage Law to attack every foreign business, either now or in the future. This is part of #XiJinping’s return to #Maoism. #CCP @milesyu10 https://t.co/0yZkbTo17g",en,Retweet
XiJinPing_NMSL,@FHtxWIgJMI3yoLO 大哥冻土豆吃累了打把美军怎么了😠👊开了就是开了？,zh,Reply
MuForest419,"RT @GordonGChang : #China’s regime will use the amendments to its Espionage Law to attack every foreign business, either now or in the future. This is part of #XiJinping’s return to #Maoism. #CCP @milesyu10 https://t.co/0yZkbTo17g",en,Retweet
MuForest419,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
