Word,Polarity
down,-0.15555555555555559
other,-0.125
true,0.35
game,-0.4
whole,0.2
ready,0.2
special,0.35714285714285715
spent,-0.1
foreign,-0.125
direct,0.1
sound,0.4
sexual,0.5
new,0.13636363636363635
respectable,0.5
manque,0.1
little,-0.1875
ok,0.5
latest,0.5
wrong,-0.5
destroy,-0.2
military,-0.1
great,0.8
proud,0.8
mental,-0.1
real,0.2
general,0.05000000000000002
high,0.16
young,0.1
wants,0.2
apparently,0.05
serious,-0.3333333333333333
clear,0.10000000000000002
laughable,-0.5
childish,-0.2
thanks,0.2
powerful,0.3
wins,0.3
sorry,-0.5
rough,-0.1
best,1.0
dead,-0.2
significant,0.375
responsible,0.2
particular,0.16666666666666666
engaging,0.4
carefully,-0.1
sensitive,0.1
fail,-0.5
modern,0.2
particularly,0.16666666666666666
haha,0.2
hardly,-0.2916666666666667
disastrous,-0.7
arrest,-0.05
mean,-0.3125
merely,-0.5
due,-0.125
bad,-0.6999999999999998
light,0.4
straight,0.2
evil,-1.0
peaceful,0.25
propaganda,-0.1
right,0.2857142857142857
warm,0.6
forced,-0.30000000000000004
most,0.5
really,0.2
very,0.2
good,0.7
kindly,0.6
supporting,0.25
brutal,-0.875
becoming,0.45
natural,0.1
lifelong,-0.1
jail,-0.1
greater,0.5
ordinary,-0.25
extraordinary,0.3333333333333333
common,-0.3
beautiful,0.85
boldly,0.3333333333333333
full,0.35
absolute,0.2
many,0.5
important,0.4
better,0.5
strong,0.4333333333333333
live,0.13636363636363635
endlessly,-0.125
more,0.5
complete,0.1
farce,-0.4
scum,-0.3
drag,-0.1
much,0.2
free,0.4
dirty,-0.6
fake,-0.5
