Screen Name,Text,Language,Tweet Type
t7a7t0o1,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
21law,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
OldCoastie54,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
sequoia2001,"RT @McCainInstitute : “Zelenskyy said, ‘To fly, you need two wings. Don’t give me one wing and ask me when I’ll fly. I’ll never fly with one wing.’” -@natemook",en,Retweet
LongfellowJean,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
Danielxrk,"RT @petite_michelle : russian liberals have finally found who is responsible for russians not protesting. 
It's Zelenskyy. https://t.co/hTFKPoPB64",en,Retweet
Vaxmaxxed,@nexta_tv God DAMN that's a sweet gift. God know Zelenskyy spends enough time near the front for it to be a practical gift as well.,en,Reply
psalmsgood,"RT @nexta_tv : In the #Netherlands, during #Zelenskyy's visit, military equipment was demonstrated, which will soon be sent to #Ukraine. https://t.co/MWz1xs7Jca",en,Retweet
TTriggerMaster_,@realstewpeters The guy looks like Zelenskyy without the beard. How fitting.,en,Reply
AlterfaxJ,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
uswanie49,"RT @nexta_tv : In the #Netherlands, during #Zelenskyy's visit, military equipment was demonstrated, which will soon be sent to #Ukraine. https://t.co/MWz1xs7Jca",en,Retweet
psalmsgood,"RT @United24media : “We all want to see a different Vladimir here.” 

President Zelenskyy during his International Criminal Court address today in The Hague said that he is confident that the ICC will convict Vladimir Putin. 

Fingers crossed 🤞 https://t.co/vq7fM5VYGW",en,Retweet
TennGenX,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
SeanDoates,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
NATOlizer,Zelenskyy on counteroffensive: We do not expect not achieving success https://t.co/6D7MKlQ6zW https://t.co/7qZHgT1QpV,en,Tweet
stephenbranham1,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
TrueFactsStated,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
morohoshif,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
1RhcY3fCLQIg3ax,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
knizzle256,"@ITSec4me @BasedF15pilot @TreasChest Ukraine is “in” this fight for two reasons; military hardware provided to them from everyone else and Zelenskyy is still alive. Take away any one of those reasons, you’d all be Russian again already. Biden is the worst proxy-war leader ever. God speed.",en,Reply
realelybritt,"@lordbearwolf I would tell Zelenskyy,

 You can’t defeat Russia, Russia can’t defeat Ukraine.

That leaves only one possibility, end the war.

If Zelenskyy didn’t agree to a cease-fire, I would cut him off completely.

If Russia didn’t agree to a cease fire, I would arm Ukraine to the hilt.",en,Reply
kahncha,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
amorphousLiz,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
SpinoneMama12,"RT @Samanthar1190 : So Hunter Biden is starting a GO FUND ME
for money for a ""legal defense""  fund.  He should go ask Zelenskyy for the money. 
What an absolute POS. 
Seriously.",en,Retweet
ACA_LAB,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
CjfRiley,"RT @KimDotcom : “We want to make this the last war in the world, and we will do it.”

— Zelenskyy today in The Hague

Nuclear war would be the last war.",en,Retweet
Gg7CwLnra4GtW5R,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
ImmortalKoschei,"RT @KimDotcom : “We want to make this the last war in the world, and we will do it.”

— Zelenskyy today in The Hague

Nuclear war would be the last war.",en,Retweet
lW6g1uLJjaSnFtp,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
jrflaum,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
BardOfEarth2,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
CAthy_AnnG,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
JonUPS_,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
CzarnyLocal127,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
sylamore1,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
MARTIN91559117,"RT @nexta_tv : Czech President Petr Pavel presented Volodymyr Zelenskyy with a CZ 75 semi-automatic pistol

""As a sign of respect for heroism, I presented Volodymyr Zelenskyy with the legendary CZ 75, serial number 22,"" said Petr Pavel. https://t.co/wO6vGcGfSA",ro,Retweet
debr3322,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
123tiechui,"RT @WayneDupreeShow : Who hit the Kremlin? | Wayne Dupree Podcast joins @redvoicenews family | updates from the New Federation State of China @NFSCSpeak now via @WayneDupreeShow @HBRadioGuy @JRobFromMN

https://t.co/fiwpGeDe81",en,Retweet
WaTZ3ri4IQdeVcj,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
Clynna1L,RT @KindredandWolf0 : @KensingtonRoyal @FLOTUS @ZelenskaUA @RoyalFamily You know I would love to see the coronation. But I’m a US tax player. So my money when straight to Mrs. Zelenskyy and her private flight to the UK with her new do and dress. You’re welcome. 😒,en,Retweet
Notzachpowers,"RT @nexta_tv : Czech President Petr Pavel presented Volodymyr Zelenskyy with a CZ 75 semi-automatic pistol

""As a sign of respect for heroism, I presented Volodymyr Zelenskyy with the legendary CZ 75, serial number 22,"" said Petr Pavel. https://t.co/wO6vGcGfSA",ro,Retweet
SriBhartiya,Boycott Zelenskyy https://t.co/PdJ2A4Usdy,nl,Tweet
Xiaotong41,"RT @WayneDupreeShow : Who hit the Kremlin? | Wayne Dupree Podcast joins @redvoicenews family | updates from the New Federation State of China @NFSCSpeak now via @WayneDupreeShow @HBRadioGuy @JRobFromMN

https://t.co/fiwpGeDe81",en,Retweet
wildmarshphoto,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
Gina40purple,RT @BonBee81 : @Royal_Circular @FLOTUS @ZelenskaUA @KensingtonRoyal Ours is wearing discarded curtains and we paid for Zelenskyy wife expensive outfit.,en,Retweet
ilyashev,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
gyorodan,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
naru0118_,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
AMindinao,"RT @KimDotcom : “We want to make this the last war in the world, and we will do it.”

— Zelenskyy today in The Hague

Nuclear war would be the last war.",en,Retweet
edgehead58,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
h_like001,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
Shortygrandma54,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
Bob53234720,@FluidityOFlight @Benjami7367095 @SpartaJustice @Frd9y Let’s start with Zelenskyy https://t.co/46PoAUvFQP,en,Reply
lcmcternan,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
CheetoPigeonfar,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
karengephart2,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
paintsandsings,"RT @VOANews : Ukrainian President Volodymyr Zelenskyy said Thursday that Ukraine was ""realistic"" that it would not be able to join NATO while still fighting Russia. (AFP) https://t.co/4ciPSmtDou",en,Retweet
uswanie49,"RT @nexta_tv : Czech President Petr Pavel presented Volodymyr Zelenskyy with a CZ 75 semi-automatic pistol

""As a sign of respect for heroism, I presented Volodymyr Zelenskyy with the legendary CZ 75, serial number 22,"" said Petr Pavel. https://t.co/wO6vGcGfSA",ro,Retweet
AlsupCarol,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
buhi_2,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
OYakymO,RT @crimeaplatform : President of Ukraine Volodymyr Zelenskyy addressed a letter to the participants of the premiere of the album by Crimean Tatar singer Jamala QIRIM and to the entire indigenous Crimean Tatar people. https://t.co/SBpHxxNzo4,en,Retweet
TonyClimate,"RT @KimDotcom : “We want to make this the last war in the world, and we will do it.”

— Zelenskyy today in The Hague

Nuclear war would be the last war.",en,Retweet
varya_she,"RT @berlin_bridge : A week of shame for our city.
First the police leak details about Pres Zelenskyy’s visit. Now the City of Berlin confirms they’ll forbid both Russian &amp; UKRAINIAN flags to be displayed near Soviet monuments on May 9th.
Equate victims with perpetrators much? Disgraceful. Complicit. https://t.co/ax4758KTcu",en,Retweet
DichotomyMyth,"RT @petite_michelle : russian liberals have finally found who is responsible for russians not protesting. 
It's Zelenskyy. https://t.co/hTFKPoPB64",en,Retweet
McCainInstitute,"“Zelenskyy said, ‘To fly, you need two wings. Don’t give me one wing and ask me when I’ll fly. I’ll never fly with one wing.’” -@natemook",en,Reply
KLovesNature,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
chack358,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
BackyardAviator,"RT @nexta_tv : Czech President Petr Pavel presented Volodymyr Zelenskyy with a CZ 75 semi-automatic pistol

""As a sign of respect for heroism, I presented Volodymyr Zelenskyy with the legendary CZ 75, serial number 22,"" said Petr Pavel. https://t.co/wO6vGcGfSA",ro,Retweet
MarkHop89119394,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
sstsstqsp140503,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
dimongalem,"RT @petite_michelle : russian liberals have finally found who is responsible for russians not protesting. 
It's Zelenskyy. https://t.co/hTFKPoPB64",en,Retweet
EstelCooper,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
_stopfakenews,RT @RobynDODonnell : @KensingtonRoyal @FLOTUS @ZelenskaUA @RoyalFamily I can't stand #Zelenskyy!,en,Retweet
lynndukes,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
MarleyTeek,"RT @nexta_tv : In the #Netherlands, during #Zelenskyy's visit, military equipment was demonstrated, which will soon be sent to #Ukraine. https://t.co/MWz1xs7Jca",en,Retweet
johnpaulkeith,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
lcmcternan,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
