Word,Polarity
sweet,0.35
near,0.1
fitting,0.5
success,0.3
military,-0.1
alive,0.1
worst,-1.0
completely,0.1
fly,0.8
killed,-0.2
certainly,0.21428571428571427
down,-0.15555555555555559
own,0.6
love,0.5
very,0.2
clever,0.16666666666666666
good,0.7
average,-0.15
more,0.5
legal,0.2
absolute,0.2
seriously,-0.3333333333333333
false,-0.4000000000000001
great,0.8
horrible,-1.0
chilling,-0.5
nice,0.6
crazy,-0.6
sick,-0.7142857142857143
new,0.13636363636363635
filled,0.4
primarily,0.4
spent,-0.1
real,0.2
first,0.25
nearly,0.1
really,0.2
tough,-0.3888888888888889
happy,0.8
fine,0.4166666666666667
ordinary,-0.25
young,0.1
sad,-0.5
large,0.21428571428571427
welcome,0.8
foreign,-0.125
other,-0.125
strongly,0.4333333333333333
criminal,-0.4
better,0.5
toilet,-0.03333333333333333
much,0.2
mess,-0.175
right,0.2857142857142857
complex,-0.3
dead,-0.2
enjoy,0.4
far,0.1
militarily,-0.1
serious,-0.3333333333333333
black,-0.16666666666666666
lmao,0.6
fucking,-0.6
ok,0.5
unfortunately,-0.5
sharp,-0.125
excellent,1.0
alleged,-0.1
most,0.5
tired,-0.4
corrupt,-0.5
golden,0.3
stellar,0.25
specially,0.35714285714285715
evil,-1.0
jail,-0.1
whole,0.2
adult,0.1
offers,0.1
wants,0.2
ironic,0.2
sure,0.5
important,0.4
scary,-0.5
strange,-0.05
previous,-0.16666666666666666
many,0.5
fake,-0.5
strong,0.4333333333333333
married,0.25
prominent,0.5
busy,0.1
safe,0.5
free,0.4
popular,0.6
bad,-0.6999999999999998
weak,-0.375
dirty,-0.6
perfect,1.0
truthful,0.5
